PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,18.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,37.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,17.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
